0,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,nome
34030104,256795,230212,740534,125828,1593312,125176,288482,1581757,771651,1692868,919522,1120148,3100715,1118138,288151,2487204,3162886,449433,2515895,5928587,1136394,613075,1140167,400162,651323,1200731,390958,silva
21367475,139925,56143,341063,43074,903292,99848,146772,852096,358006,608963,220180,438111,909604,811796,958602,3723348,1726601,357834,1303668,3974662,907061,408007,691111,225446,313816,616354,232092,santos
11708947,109528,70120,239696,32496,435685,36133,82466,346519,206987,551721,239898,233200,419775,163567,156613,1143304,1435182,220029,925894,2400964,555029,254207,456119,157414,216902,453212,166287,oliveira
9197158,102355,86445,350692,36779,342753,42268,44664,70197,28710,199724,163129,139634,390135,87408,110159,1186561,1163790,206369,864197,1863078,405835,253243,279847,156723,200622,310248,111593,souza
6888212,55490,22583,121065,25012,272632,18617,113893,367464,190750,329367,100091,181950,275133,78844,43379,561547,932125,140715,463664,1253492,275603,167954,224097,95308,128014,331855,117568,pereira
6226228,51266,29619,123980,14286,303632,33022,62527,246977,117217,341360,97263,154075,339666,125716,45269,419806,887346,114309,466549,1140713,279161,102016,157591,87053,112016,281108,92685,ferreira
6094630,48493,66408,180404,27124,307000,21499,55203,292324,142579,536012,190764,217106,473303,163764,87154,465072,373732,60400,360389,1050907,266381,108563,166778,67391,89396,186756,89728,lima
5756825,48789,17925,70917,14707,183662,12380,91896,210753,155216,370276,96440,157592,286529,94108,77798,441615,764476,96911,359159,1092561,234891,116439,140023,73452,107746,328362,112202,alves
5428540,48409,22987,108137,18005,241036,21937,77834,214705,150327,344695,59293,91222,176645,52479,36899,256174,724735,102346,363571,1070933,245701,121497,294945,85943,111189,285606,101290,rodrigues
4861083,37783,36386,150654,19114,380471,40326,50698,384311,139690,280277,137685,119122,137574,55514,45995,324806,524390,79055,400425,710812,151510,95279,153052,46820,92378,189987,76969,costa
4797390,21620,16764,43892,27130,464776,19527,128374,733056,497628,805536,47191,159463,95065,11938,12545,226892,280948,28627,130275,465541,43113,31499,25712,14854,60204,282397,122823,sousa
4046634,35650,21181,98206,13663,186200,18087,49373,164909,90528,269254,90025,130547,269609,80572,31454,242536,480872,88670,373640,680746,120143,55100,96678,49469,67413,174792,67317,gomes
3609232,27428,41663,95927,12875,187756,16247,21314,176776,105649,318585,137800,140784,283287,72234,68447,354032,214829,74069,289426,553220,94470,49290,54700,30506,49279,94096,44543,nascimento
3460940,24858,32799,90298,14834,163792,13183,47306,224550,138757,265034,119298,148972,200803,66769,37298,316886,289011,40121,231868,526934,80369,32842,52538,34774,52112,141798,73136,araujo
3127425,23846,8190,56768,8636,139185,8432,48709,138753,72952,116052,29276,38725,67055,15814,22392,256984,422607,69532,269550,618403,186953,90202,116180,39799,56862,149666,55902,ribeiro
3069183,25873,14441,67787,11090,133694,18800,23301,112278,32655,128122,31178,57050,93713,37368,41214,379352,358634,68616,250091,638597,129743,48125,99980,38913,77453,105238,45877,almeida
2859490,18046,2966,15075,3990,82439,5765,12698,93183,29682,18119,4316,6160,24687,10886,141588,1077272,284671,71494,122659,470052,78255,44203,28671,21392,40482,115711,35028,jesus
2738119,20178,11536,57412,7876,131553,18595,33826,87880,49897,135047,53909,94304,183827,61651,26110,236636,319741,53481,206349,509863,99790,36137,61480,41887,42557,113119,43478,barbosa
2615284,22171,7874,53421,6782,109527,8232,29385,105871,70800,125945,58959,82672,113244,45765,22475,153090,379498,49894,220083,442331,96528,51955,135044,33131,43697,102848,44062,soares
2599978,18298,7187,54051,7175,116537,10053,34625,148473,146358,84540,30702,29130,85900,16614,28884,239646,313516,37800,257295,482336,96031,44806,85583,26874,41639,102691,53234,carvalho
2576764,20207,9311,50283,4886,101475,8761,29679,100999,34364,129418,29480,42489,60593,17665,12313,84468,415403,53055,214778,520047,141786,90444,137280,47341,49193,131061,39985,martins
2337914,21162,10800,60604,6427,119523,7522,30016,102006,55142,123364,40807,36658,82735,26674,5842,141092,310281,42261,173987,458975,105509,44333,118296,41851,38656,92535,40856,lopes
2102389,17800,6271,39135,5801,69911,3938,19058,79452,53562,114244,18562,43415,68491,45068,39465,119646,273484,54046,167866,402838,92073,77347,88099,27842,34713,104832,35430,vieira
2044495,16509,12082,40269,4458,77724,7192,20747,94082,61637,102710,41223,22961,52963,37881,21949,206242,263722,48327,160851,366137,91315,47890,73530,27550,30194,75858,38492,rocha
2035387,15765,6023,27730,4267,95711,12922,32833,57540,36649,53242,20305,31004,49769,11950,18778,181708,314705,47936,160364,415427,89639,45155,99614,37829,39352,95470,33700,dias
2028298,16135,3038,25985,2404,77048,6312,13573,37253,20941,68625,9746,33721,52382,11611,9640,113417,402890,43713,174755,422443,121015,61241,102707,37926,35743,95312,28722,goncalves
1835974,13763,6447,34173,3685,49282,4338,18754,43256,21249,90374,67965,57238,34105,12335,5563,84731,288004,33725,165953,392105,92077,65046,71331,35171,30217,84844,30243,fernandes
1815982,11143,3552,16596,3191,47869,5850,12686,39410,21671,29626,16173,26830,141636,20952,95705,498706,110442,34386,109144,347321,48288,21330,18815,19584,33289,58105,23682,santana
1707452,13253,8154,36781,5022,54770,4511,10409,42640,25469,72077,32187,58171,104696,15085,56418,169444,214366,29174,145161,334763,80853,39601,39009,18542,20931,50909,25056,andrade
1703130,15785,7246,54410,4707,77590,6892,19861,37791,28010,70807,34024,55499,76251,21832,28757,157937,222818,36150,107462,322318,86586,34409,38361,22332,29419,80023,25853,batista
1569246,12972,4738,33471,3078,69372,9602,18985,65370,39345,56964,27104,36073,66957,21169,19686,118497,164198,32660,114703,267094,60250,49322,124434,24796,31242,69079,28085,nunes
1534767,12705,11815,43749,3981,72841,8615,8207,41347,19219,136718,34575,29728,57898,14181,12555,83599,205958,31496,129610,256755,65775,35852,87453,24675,23890,60550,21020,freitas
1534490,5488,7037,13533,5934,106793,6937,16707,169596,49916,23596,13394,27372,92582,53046,40678,305883,70059,28662,174534,170955,20521,15307,25211,11722,24264,39123,15640,conceicao
1522803,10889,12280,40094,5634,77276,6788,11052,58303,26123,79025,50447,50299,166033,59892,34078,64473,146707,13887,105400,249085,55952,34157,46513,15033,20430,57573,25380,melo
1517636,12002,5244,25375,2917,56228,4096,13857,41025,14772,83427,11669,16082,21114,10347,5697,134624,274756,36552,130702,302423,77192,32835,57656,18680,24948,78343,25073,moreira
1486310,11258,2921,30961,3222,112522,13049,18990,70296,34891,33308,13162,17920,22047,9386,18243,119625,170683,26908,110183,280340,71126,66567,86558,19932,23970,73281,24961,cardoso
1483376,11555,2851,34604,4157,105180,7530,20355,94841,27630,18556,3346,4388,16352,5736,18720,197253,291841,28685,105573,253033,45140,21802,47267,12188,22635,60036,22122,reis
1476511,11232,7092,40750,4785,80874,5910,13343,65227,28915,50157,24028,20655,41311,7311,34952,203058,161901,23849,109718,272128,79708,34485,45988,16971,32724,42203,17236,cruz
1354309,11838,2927,41699,4119,56599,9593,8495,42185,16108,25454,8949,28975,69872,13677,16351,118724,151589,31742,128765,276792,77286,44856,62753,19106,25222,42183,18450,ramos
1329652,10953,4828,22494,3487,58871,6197,12959,98019,33402,62884,10856,23425,44952,9536,4382,83041,211330,20169,94873,237817,65907,36362,40424,18797,26857,62043,24787,mendes
1328317,9537,4138,39872,3478,50466,8196,8601,49891,26295,68194,15265,25744,51170,20331,9112,74759,164525,20713,108669,273193,57393,27284,72486,24770,27859,61905,24471,marques
1268583,9146,3044,12548,2128,40178,4826,7017,33504,20915,20403,4935,6580,14357,5939,6922,67154,126405,31563,135643,207772,108980,90019,211775,18264,17453,46202,14911,machado
1197956,8639,1190,3620,1204,24838,1493,4485,14431,6721,7312,3782,2948,8414,3250,5913,63637,147154,30677,107082,214843,90385,99499,235513,17076,22224,61314,10312,rosa
1175392,9533,6010,29270,4513,93075,12216,17768,61784,43200,67044,23035,34185,49916,12819,9798,183268,81395,13363,64842,193474,31155,12733,21894,12744,19309,45942,21107,brito
1135109,7386,3430,33579,3337,96183,10807,7765,57704,15198,29205,6585,8341,30436,9179,5184,36144,75587,18034,94822,295907,58535,37037,80165,19336,35079,46292,13852,moraes
1134562,6795,3295,19111,2582,37182,4131,6826,31746,17214,37980,25447,24990,61982,19574,15580,73937,132670,22095,90300,269797,61786,43096,34906,15544,18407,41643,15946,junior
1073564,8094,9919,15936,2979,40038,2454,11150,35717,47791,80101,35094,23979,73196,15990,14707,63188,111807,15064,84127,184320,35755,17097,52173,11742,18181,44108,18857,moura
1042878,9187,2228,17458,2021,40472,2581,6970,32158,11414,57794,16398,7940,19920,8597,4553,71939,174091,21728,110187,207761,50968,28553,60884,11751,15030,34975,15320,teixeira
1027857,7736,5763,24027,4087,65642,5513,18926,87612,28229,63651,14132,21149,103001,36071,10761,52272,58194,13213,87623,171382,26807,12018,22117,14042,21720,34353,17816,barros
1023684,8910,7242,58941,4570,73148,5462,11419,55710,24910,76055,8458,7206,16274,5567,3426,59132,136627,13637,92538,161801,39995,16974,46163,9878,13368,45655,20618,castro
997788,6495,2381,8844,1567,49852,4162,14285,32986,27646,18742,9720,10283,14676,5015,4245,88274,138999,17652,60289,164282,49643,45207,74823,14029,23226,90077,20388,borges
994185,5854,2905,21832,3111,32340,2844,7511,48210,34640,73067,29263,40437,84468,22340,14138,78238,88905,14964,65815,177827,32951,19259,14407,10393,14993,41211,12262,filho
970996,5652,1532,4066,1047,13022,738,2932,12531,20713,33751,17914,20002,148019,23142,5159,56666,158634,14918,74655,199234,36707,22212,18496,6867,15883,42554,13950,maria
937109,7573,536,919,348,2922,108,1619,1697,1308,3159,2331,3034,7510,2602,1459,10825,254314,10345,31963,376923,105518,30244,8211,16170,18926,30276,6269,aparecida
883403,7310,2679,19954,2653,36189,3979,7285,30968,8275,17469,6988,9962,23246,4348,6515,45903,142065,16322,72814,218206,43027,22711,32407,12738,40442,35451,13497,campos
876649,7704,3083,20036,1837,73753,7513,12912,32310,19905,22031,12089,8861,23015,5040,1715,85651,132742,21482,69046,148804,43443,20967,22006,12119,20315,33782,14488,miranda
874360,5225,9481,22477,3925,29311,1744,11675,45199,22500,127158,70927,55569,149025,32373,9228,24663,12891,2784,38359,128931,12618,4725,2137,8148,10612,18292,14383,bezerra
861799,6220,5121,38376,2979,100807,11333,6123,31309,15129,48982,11216,23714,45894,15020,7646,32124,63122,17883,99047,147723,28826,16546,25547,9570,11329,26183,14030,monteiro
850059,7686,7583,41526,2694,99053,9652,7080,67931,12232,64925,19614,7930,13861,7961,5175,53680,69950,14052,68442,122367,35115,18937,38248,9203,13234,20790,11138,pinheiro
828355,8929,2903,9095,917,13103,1550,3076,6927,3569,28309,5986,3749,17893,2801,1052,10323,208825,19762,82418,210827,71986,16589,22346,11090,17070,38931,8329,paula
827405,5703,6404,21970,2669,61662,2852,8631,42991,21894,33705,19842,15186,22690,3081,7060,45809,98322,13992,92373,130571,27133,27431,42285,8360,12968,37253,14568,cunha
824756,5712,3229,33300,2853,59117,4338,9019,38581,7126,43452,7747,7304,12731,5297,6410,56245,106964,17404,97776,146213,36948,16389,50824,7075,12471,21141,9090,pinto
789824,6566,2825,12130,2015,23798,3645,7445,28879,12991,34437,11205,33023,55456,15907,10731,51613,73528,12036,52571,192224,32272,15735,20695,15261,22502,26709,13625,leite
775845,5653,3020,15427,2360,25819,2538,8642,31141,28905,55351,29496,32481,49566,16743,12539,58354,77333,12172,39341,133266,29406,18637,15331,10419,13850,38128,9927,neto
746863,5561,5081,25677,3442,40598,3075,7235,36451,10240,42793,2732,3382,12574,4152,18072,123726,68247,13651,48858,127104,29310,20144,31647,11832,14546,24605,12128,matos
740653,6611,4746,31087,2835,80583,6828,5692,24316,9425,48705,16714,39913,44407,30303,13406,43771,26313,8703,53684,87594,32270,27030,41387,9597,12448,20204,12081,farias
736163,7024,2288,20973,1512,38914,3816,5881,25434,8153,13050,6225,14679,25772,5678,4593,90542,85096,23317,72721,140530,33614,15016,21537,8353,17552,32026,11867,neves
718386,6624,3869,13970,1452,31275,3717,4218,29005,5201,22747,4553,13022,41712,27623,14576,58746,57995,19053,61497,137167,46081,26749,26923,10171,14708,27440,8292,correia
685449,4931,1436,16205,2346,31203,4237,4007,15722,8406,43736,15593,18002,17771,8880,1417,26225,96083,11556,65064,114005,25938,25088,58036,16930,14617,28090,9925,duarte
674291,5284,3269,24360,2916,44435,4457,5941,56734,17225,51898,9652,8609,19092,7969,5998,49533,83692,17108,62518,102586,19222,8554,17021,6319,9926,18357,11616,viana
665854,3356,1271,6983,1132,14155,1111,2281,8149,2699,27184,7487,4838,8620,1600,6903,21761,85851,9546,55740,94913,36158,50708,177642,6998,7027,15459,6282,silveira
661273,6609,4950,26131,1449,29987,2778,5390,22060,9262,54884,11694,9868,20951,6192,2803,37276,83148,9344,64068,142314,26952,9040,14843,14115,11231,23155,10779,nogueira
658511,5204,3859,10589,2644,28858,4411,9579,46588,19177,46129,30632,21806,26397,7173,3587,29762,83269,7349,27242,96249,28122,14815,24994,7105,14291,47416,11264,morais
657549,3852,1811,15324,1743,21864,1757,2873,14134,8229,27246,87511,49301,29855,9766,2307,18945,53910,8533,67033,95085,21052,30154,38173,7590,7900,19156,12445,medeiros
644373,4512,2689,26835,1767,50554,7775,10326,14259,6115,29902,15601,21147,40486,16785,12496,24378,57306,8966,73965,102403,21248,13613,25838,5396,8749,30203,11059,tavares
639315,5758,2749,24940,2017,34761,4105,12821,43541,17241,31815,3759,6891,25637,1891,1378,34206,98797,15856,62629,94734,18518,24753,21864,7027,9345,22200,10082,coelho
628861,4898,3751,22091,1752,31043,3295,4482,29160,6269,24714,24012,13900,23414,5201,6012,45620,59044,12998,104604,100595,23476,10545,29194,6020,7066,16092,9613,azevedo
618921,4279,1329,18114,908,36087,3505,4666,28531,5776,10710,18579,6362,13293,3837,7392,34295,127423,11338,72567,99791,23591,10180,33292,6461,7661,19007,9947,fonseca
616971,5067,1202,3469,2432,7299,383,3904,7116,9242,11207,6294,14117,88625,12504,3925,39251,99712,9950,44393,130837,29066,17329,7937,6711,12064,35386,7549,jose
615356,5049,755,17639,3616,22274,1647,1871,12397,1088,9634,5768,4446,2525,805,1824,9926,60585,11805,43760,199210,46887,25483,66746,21253,13223,19624,5516,garcia
601971,4152,1675,19641,1538,29697,2273,7084,21358,6434,11122,3567,8792,17369,3730,8588,47665,98792,12863,77969,98872,24580,10503,19180,6235,10656,35001,12635,guimaraes
590896,3677,1100,6252,746,18266,3277,5461,21949,6972,18108,2700,5116,7708,1442,960,46331,73663,10792,50053,137266,37242,21665,43026,8729,10162,39068,9165,pires
580641,2185,666,22452,1135,72726,5741,1084,22338,674,2485,810,1472,5340,1447,2343,6029,53213,15136,73817,115863,29857,42030,64826,12094,10816,8922,5140,correa
569655,4427,1548,14067,2643,23259,2172,6163,22703,24622,21440,19264,15070,25928,3761,5169,67107,44330,5510,46857,112508,21252,12391,19121,6274,9244,22132,10693,macedo
553981,4508,4307,10397,1363,14792,1838,4957,27734,10126,18830,18634,20281,47964,13176,9054,53842,36287,7767,44061,98895,34682,14201,10141,6779,12432,17987,8946,franca
535462,4170,1520,10190,617,34758,4186,2811,11887,3443,10121,3561,3841,15234,2898,2539,31841,76992,11253,51328,109802,31641,23342,46749,8526,8419,15881,7912,amaral
527569,3238,1462,10980,1025,16293,987,4458,7846,6209,27966,15311,15055,31820,5633,4571,47065,69815,9953,41657,100982,20818,11290,20681,6345,9841,26774,9494,xavier
517322,4223,2469,10142,878,15391,752,2730,9834,9817,15894,12264,14038,20341,4796,3010,38156,104346,14532,53477,94053,20560,8057,10480,7210,8950,23391,7531,assis
510309,4816,3271,20579,3480,32543,1164,6042,24963,7362,42328,3945,6379,14100,4376,11681,64868,52809,8112,40135,82542,12431,11150,12921,4485,6407,18183,9237,mota
510012,3934,1038,4093,927,5918,454,1405,5574,3271,10243,6962,12666,30517,6429,2031,8564,99334,6123,37580,160485,35659,14614,8066,6216,9167,21254,7488,henrique
507209,4886,2615,12198,949,31151,4284,3238,12299,3850,20414,2981,5204,20552,4841,5055,51874,90417,10338,40290,99848,22702,6095,7631,5685,9771,22789,5252,carmo
501236,4126,1166,8978,808,22296,1136,2292,7512,4866,14769,5552,4149,42200,4270,5908,6588,56784,14233,51160,120184,34248,13774,24037,6865,12072,24154,7109,siqueira
500734,3844,4969,23458,2087,19355,1429,3401,13655,4100,34724,8437,8379,27812,8298,35592,59713,37686,5652,49844,76046,8944,5876,24191,6638,5094,13571,7939,menezes
496368,3914,4188,17855,1794,20704,2085,4085,9912,4306,40468,17167,14395,26660,5700,1494,60337,53862,7362,32345,90482,13326,3818,6069,9893,10441,22574,11132,queiroz
493683,5308,4065,11872,1822,22140,1692,9261,36224,11048,36017,4345,6917,17554,1957,1771,29389,57009,11875,49101,84766,15595,13326,19779,3909,8769,17117,11055,aguiar
490720,4385,5195,13667,2328,23483,2196,5004,21371,14516,55996,12740,17173,28585,3866,5190,46359,46986,7696,31668,80767,12777,4532,6306,4983,8545,15220,9186,sales
484731,4592,5568,21099,1830,35624,4434,3046,16119,5938,48092,2768,6430,8637,2831,1278,24731,74474,10208,58287,70899,13008,6098,22239,5665,5418,15702,9716,braga
481495,4604,3882,12068,1955,20507,1389,5085,30543,15153,20427,5572,9045,31555,11830,2112,54167,47859,16284,36041,75273,10249,12045,5159,7403,16244,16643,8401,amorim
475296,3480,5950,25022,2587,21923,2498,6024,15197,12867,72105,15640,25320,54169,31616,4386,21217,8905,2093,25384,71966,7621,2240,1463,5092,6095,14477,9959,cavalcante
470447,4628,2321,12768,928,26880,3837,2374,10297,2927,22303,6783,12330,37117,7500,1657,26487,51144,7799,41708,74328,57594,19412,6627,4723,5929,13705,6341,cordeiro
458028,2903,3298,9794,1057,12674,1376,1966,6160,6869,29185,72824,44853,19676,11045,17824,51974,15533,3318,29541,74612,7351,2568,1825,4041,4932,12210,8619,dantas
452712,3174,2504,7587,1258,27395,2266,6641,38229,11794,34656,2751,5348,6487,2665,1579,19533,57884,8555,55020,67013,16540,11813,26503,3108,7164,17446,7799,abreu
437602,2567,2718,8962,2057,25292,815,7699,26330,5828,49497,4938,12831,21214,1787,1013,52019,38631,5248,32835,55478,30987,8096,8022,3651,4498,16871,7718,carneiro
417368,2703,596,2137,446,6398,420,982,5098,1887,3444,4426,3242,13416,2335,1229,5907,84351,3813,47022,151257,25962,10861,4415,3791,7628,17552,6050,cristina
417301,3115,4659,12848,1872,22123,1507,2649,17471,8811,45029,21444,10645,11900,1581,949,16920,61080,5562,43096,67533,11485,3364,8603,3579,4456,16886,8134,paiva
415199,2520,2698,13981,3572,16773,1773,3084,12382,7866,34282,1489,2628,12242,3671,1209,36949,73991,4887,43286,65333,10811,3782,7449,5409,11486,21355,10291,magalhaes
410698,3129,1683,10733,710,23178,2973,2487,17394,6432,10626,4551,5315,18210,7068,10724,79090,37147,9313,24322,68690,17043,9893,7852,4446,7621,14620,5448,anjos
408508,3291,3023,16865,1192,27654,8079,3747,12818,4349,29438,3557,8425,13635,2913,2534,15964,45676,4539,28138,60949,23750,16944,39630,7719,7038,10721,5920,maciel
399521,3876,6221,17072,1390,28244,1665,2228,10771,4100,44183,12729,8052,7699,2663,2008,26418,48623,5082,42487,51136,18925,13819,12498,3443,4215,12961,7013,maia
397865,2912,2351,6442,977,8116,575,1762,8330,5622,36794,17835,28603,35254,13318,5278,23176,32784,5968,31112,78929,13011,4068,5427,4681,5347,13197,5996,felix
395666,2505,253,413,148,2312,55,1324,509,116,446,226,245,514,174,114,1817,18505,2879,9717,188012,65757,21260,42450,8429,9096,15668,2722,camargo
391084,1901,265,993,367,2426,188,1183,1741,491,1100,1772,814,1647,583,1241,3949,125467,8870,50715,109469,23688,5277,4461,3829,5593,27028,6026,faria
376383,3192,2094,9226,1630,28931,1897,4552,23816,7771,27566,3283,6964,8540,1753,2002,23548,51043,6140,29394,48165,17202,13398,24632,6180,5004,12025,6435,chaves
370994,2025,1808,8426,1609,11368,1888,1019,3232,2785,14833,6247,7160,15789,2880,18055,79303,17643,6951,59738,59652,10056,4900,12527,4572,3773,7443,5312,barreto
370889,3304,534,2219,1003,3006,88,3568,3384,5192,3676,4438,10760,25814,4971,2547,21492,50143,8935,36586,102415,20368,13073,7151,6367,7230,18616,4009,francisco
369764,2883,456,2720,641,3659,206,1394,2535,2943,5829,4480,6412,20755,4037,1181,11436,69606,7389,30191,109933,23665,13226,9275,5502,6903,18367,4140,antonio
368011,2177,837,2912,836,26606,2560,8363,18877,11721,5933,2279,2359,10371,1624,1346,29795,24711,3504,15206,48983,49214,29027,43120,3256,8391,10494,3509,luz
362720,2761,709,7936,1323,28906,2385,3898,14256,25059,4599,1797,5740,12928,1063,2808,29907,33643,7634,35884,54762,22953,10087,26786,4081,4939,10170,5706,leal
356002,3030,935,3477,742,6185,388,1808,6709,3535,16531,7935,5949,16101,3728,2278,15649,48899,7779,37060,98068,21093,11193,8623,4048,6314,13601,4344,carlos
344780,2943,961,10246,810,15316,2074,4411,28732,11779,12270,3015,6514,32656,3753,6162,28721,34796,4659,35519,52843,8434,5822,6666,3143,4615,12129,5791,sa
343744,2612,2830,15141,866,12303,1363,1713,21061,1148,14495,7417,8969,17149,8456,10964,9836,36777,6195,45548,58344,9966,5829,9402,6418,4838,18457,5647,mendonca
340113,2058,2590,9680,1770,15542,1466,1913,16624,11860,40200,1329,2842,8709,4204,2255,50045,18482,5022,30976,64051,12168,4271,8113,3228,6013,8229,6473,sampaio
339239,2593,1624,10380,1376,12197,1045,4163,16897,7474,19436,9423,7120,32086,8111,3301,15230,29103,3984,33591,64332,10311,5917,10740,6786,4460,10139,7420,torres
337455,3129,1830,9438,1205,16258,1296,3083,18027,3658,9263,10134,14781,28465,6276,2712,13307,23709,7032,45401,53168,12371,9862,10850,6046,5062,16528,4564,cabral
330105,1870,2069,18832,1348,20399,2197,1693,7929,5650,50092,4585,11483,30907,7636,5298,17473,29390,4723,25571,43338,5575,2617,8632,2545,3115,8037,7101,vasconcelos
327621,2483,520,1050,242,3765,340,4585,4732,4440,1518,729,1442,6887,8349,23605,126679,18799,4718,10282,65733,7121,1767,789,3879,6552,11936,4679,bispo
324642,2825,3019,10270,1532,19156,2718,2099,25788,14418,24548,10032,5557,10158,3531,5260,16032,25200,7572,32986,47337,13505,6221,13211,1865,4018,9947,5837,chagas
311506,2484,1506,12647,973,24319,3930,3128,13231,7575,15067,7112,4925,16278,3899,2553,69611,28721,4691,12640,45074,4858,2754,4595,2356,3290,8401,4888,sena
